backtest_timerange,profit_total_abs,train_period_days,backtest_period_days,test_size,timeframe,leverage,target_shifted_candles,container_name,key,trades,profit_mean,profit_mean_pct,profit_total,profit_total_pct,duration_avg,wins,draws,losses,winrate,cagr,expectancy,expectancy_ratio,sortino,sharpe,calmar,sqn,profit_factor,max_drawdown_account,max_drawdown_abs
20250101-20250130,5.845229739999999,30,30,0.03,1h,5,10,clean-parrot-wombat,AwesomeMacdFreqAi,27,0.0060735314661937365,0.61,0.029226148699999996,2.92,10:00:00,15,0,12,0.5555555555555556,0.43702280815982,0.21648999037037053,0.0945728073623,1.5827628227232202,1.24420297757349,30.770142604201528,0.3567,1.212788816565175,0.062573509706895,13.309
20250101-20250130,12.544423669999999,52,30,0.03,1h,5,10,sunny-maggot-piglet,AwesomeMacdFreqAi,29,0.011291935508751046,1.13,0.06272211835,6.27,10:00:00,18,0,11,0.6206896551724138,1.1504237958189254,0.4325663334482758,0.18688317775873298,3.099542983718507,2.834409532772636,70.77188244203263,0.785,1.4926920140912052,0.05838595718793127,12.666
20250101-20250130,3.9148944899999996,58,30,0.03,1h,5,10,liked-dingo-kit,AwesomeMacdFreqAi,25,0.00421838414862145,0.42,0.019574472449999998,1.96,10:00:00,15,0,10,0.6,0.2763291499186684,0.15659577959999993,0.061537284989312324,1.0355003013171382,0.891961173442435,16.174719022328553,0.2653,1.153843212473281,0.07972632680172634,17.302
20250101-20250130,5.063324840000002,36,30,0.03,1h,5,10,noble-raptor-eagle,AwesomeMacdFreqAi,25,0.0060532797246573514,0.61,0.02531662420000001,2.53,10:00:00,14,0,11,0.56,0.36981217335217753,0.20253299359999988,0.0911759531124039,1.1065202939438743,1.0558103977934405,24.15874189816598,0.3141,1.2072180752554635,0.069036682777514,14.989
20250101-20250130,0.03601332999999851,40,30,0.03,1h,5,10,sacred-lion-molly,AwesomeMacdFreqAi,25,0.0005466873817845446,0.05,0.00018006664999999254,0.02,10:00:00,11,0,14,0.44,0.002268721752345604,0.0014405332000000381,0.0006145758145497116,0.010984927955737784,0.007239174712766631,0.16076157592134097,0.0022,1.0010974568116962,0.07379033200979707,15.937
20250101-20250130,8.519110750000003,54,30,0.03,1h,5,10,wanted-bream-gull,AwesomeMacdFreqAi,34,0.006756219946031145,0.68,0.042595553750000015,4.26,10:00:00,18,0,16,0.5294117647058824,0.6904801249079002,0.25056208088235277,0.10338212532935342,1.794114591627686,1.5048756843920739,34.67692776232246,0.3859,1.2196870163248763,0.08092302132079705,17.335
20250101-20250130,-13.17777845,50,30,0.03,1h,5,10,in-corgi-ram,AwesomeMacdFreqAi,23,-0.013997090642425271,-1.4,-0.06588889225,-6.59,9:50:00,12,0,11,0.5217391304347826,-0.5759375141186683,-0.5729468891304349,-0.1903597402481635,-3.728886671754533,-2.988179764152778,-38.77851456265049,-0.925,0.6019750885720218,0.11193591954058489,23.24
20250101-20250130,-9.60533234,34,30,0.03,1h,5,10,solid-corgi-drake,AwesomeMacdFreqAi,22,-0.010425472472024655,-1.04,-0.0480266617,-4.8,10:00:00,14,0,8,0.6363636363636364,-0.461770960137904,-0.4366060154545457,-0.0986017071681069,-2.086624521877003,-1.6805213015361684,-31.575804564525615,-0.5314,0.7288453052877062,0.10020200441616064,20.949
20250101-20250130,6.152571859999998,38,30,0.03,1h,5,10,neat-heron-goblin,AwesomeMacdFreqAi,30,0.005862280157467425,0.59,0.03076285929999999,3.08,10:00:00,16,0,14,0.5333333333333333,0.4642623492030078,0.20508572866666652,0.083420586790516,1.39417271127991,1.1858430546691887,29.29821900384964,0.3231,1.1787584002653912,0.06917257014973131,14.202
20250101-20250130,0.5192645700000027,42,30,0.03,1h,5,10,enough-insect-tapir,AwesomeMacdFreqAi,25,0.001047642368411921,0.1,0.0025963228500000134,0.26,9:43:00,16,0,9,0.64,0.03317388772006735,0.020770582800000215,0.007082848901513783,0.10854521218602789,0.11044186500811158,2.481038297570785,0.0329,1.0196745802819827,0.06894037822553252,14.724
20250101-20250130,17.91231573,44,30,0.03,1h,5,10,key-civet-rhino,AwesomeMacdFreqAi,31,0.01528801173182025,1.53,0.08956157865,8.96,10:00:00,20,0,11,0.6451612903225806,1.9434632207608793,0.5778166364516126,0.17034057878050368,3.92208461825182,2.6901032782302807,84.22250873820313,0.7215,1.4800507220177832,0.07005546187906977,15.553
20250101-20250130,-5.301043189999999,32,30,0.03,1h,5,10,warm-tomcat-calf,AwesomeMacdFreqAi,28,-0.0036848745053135426,-0.37,-0.026505215949999994,-2.65,10:00:00,14,0,14,0.5,-0.28687667783403203,-0.1893229710714286,-0.058620343182172685,-1.054296425627038,-0.7751328278225393,-15.03301904815606,-0.2183,0.8827593136356546,0.11615384042014117,25.288
20250101-20250130,4.23163074,56,30,0.03,1h,5,10,busy-jackal-pony,AwesomeMacdFreqAi,12,0.009666741140014673,0.97,0.0211581537,2.12,10:00:00,6,0,6,0.5,0.30150696937146626,0.3526358949999999,0.14191850678915197,0.8411104946710657,0.7357309520243588,26.30168882536382,0.3087,1.2838370135783042,0.05299593596511219,11.067
20250101-20250130,-11.582399980000002,48,30,0.03,1h,5,10,helped-wolf-dragon,AwesomeMacdFreqAi,32,-0.007507122447678944,-0.75,-0.05791199990000001,-5.79,10:00:00,16,0,16,0.5,-0.5280348777029481,-0.36194999937499994,-0.11313795082149158,-2.3822159248392207,-2.00045658741041,-28.67568273920048,-0.5283,0.7737240983570169,0.1330464314258488,28.464
20250101-20250130,1.1108092399999987,46,30,0.03,1h,5,10,apt-eft-moose,AwesomeMacdFreqAi,28,0.002361738307566318,0.24,0.005554046199999993,0.56,10:00:00,13,0,15,0.4642857142857143,0.07219823293122762,0.03967175857142857,0.01811286159846448,0.2908464635778608,0.2307930326489091,4.608307644644588,0.065,1.0338106749838,0.07939926058246043,16.788
20250101-20250130,11.15498612,60,30,0.03,1h,5,10,humble-badger-guppy,AwesomeMacdFreqAi,19,0.015145940227983937,1.51,0.0557749306,5.58,10:00:00,11,0,8,0.5789473684210527,0.9800393932914797,0.587104532631579,0.3517654914059458,8.220929602047779,3.2839734784463595,99.29400030044252,1.1131,1.8354430420891208,0.03700534566108354,7.866
20250131-20250301,-6.726732630000001,42,30,0.03,1h,5,10,cute-jay-shad,AwesomeMacdFreqAi,24,-0.006575530097776675,-0.66,-0.03363366315000001,-3.36,10:00:00,13,0,11,0.5416666666666666,-0.3498829852288996,-0.2802805262500002,-0.11201316459032373,-2.1629955365623297,-1.5976437019348988,-33.09896974375013,-0.4846,0.7556076408938394,0.06694345590450781,13.42
20250131-20250301,-0.6888350800000005,44,30,0.03,1h,5,10,loved-liger-poodle,AwesomeMacdFreqAi,29,0.001422897458988657,0.14,-0.0034441754000000026,-0.34,10:00:00,15,0,14,0.5172413793103449,-0.04249460835546237,-0.02375293379310328,-0.009813975256274254,-0.2254294139976839,-0.13942817464409626,-2.447321838200624,-0.0386,0.9796710512548604,0.09271342163717737,18.665
20250131-20250301,-8.806726229999999,50,30,0.03,1h,5,10,fun-swan-bream,AwesomeMacdFreqAi,13,-0.01209751094309815,-1.21,-0.044033631149999995,-4.4,10:00:00,6,0,7,0.46153846153846156,-0.43265570408664755,-0.6774404792307687,-0.15707106320314446,-2.946486846255592,-1.2545622034308685,-24.916932827196582,-0.5074,0.7082965969084458,0.11642288395118638,23.338
20250131-20250301,-12.51867247,48,30,0.03,1h,5,10,humble-locust-llama,AwesomeMacdFreqAi,25,-0.00994526618026283,-0.99,-0.06259336235,-6.26,10:00:00,10,0,15,0.4,-0.5567177854583452,-0.5007468988,-0.20380400796822395,-3.7646883302342737,-2.414660020753177,-28.171429517347388,-0.7182,0.6603266533862933,0.1463753108892812,29.342
20250131-20250301,-9.553980379999999,40,30,0.03,1h,5,10,calm-civet-urchin,AwesomeMacdFreqAi,22,-0.008975725562952825,-0.9,-0.047769901899999995,-4.78,10:00:00,12,0,10,0.5454545454545454,-0.4599409945342332,-0.4342718354545454,-0.13152059176937436,-2.4504176515446168,-1.8040691141978422,-32.90513041282245,-0.5704,0.7106546981073766,0.09563991189636778,19.176
20250131-20250301,-17.08040421,46,30,0.03,1h,5,10,master-wolf-sheep,AwesomeMacdFreqAi,19,-0.022821681579823158,-2.28,-0.08540202105,-8.54,10:00:00,9,0,10,0.47368421052631576,-0.674885944142603,-0.8989686426315786,-0.359434964324859,-5.47604669920545,-4.931885308399314,-62.8174143363343,-1.6717,0.31707356778276796,0.08956462803265355,17.958
20250131-20250301,-25.339629119999994,58,30,0.03,1h,5,10,worthy-kit-boa,AwesomeMacdFreqAi,21,-0.029107970353618624,-2.91,-0.12669814559999998,-12.67,10:00:00,8,0,13,0.38095238095238093,-0.8182465164526957,-1.2066490057142858,-0.4049231443969915,-8.775975507796494,-5.549988078266922,-51.194057914681444,-1.7941,0.34589338212793685,0.16304186607416105,32.683
20250131-20250301,-29.513479060000005,38,30,0.03,1h,5,10,well-marlin-macaw,AwesomeMacdFreqAi,20,-0.03626093122052406,-3.63,-0.14756739530000001,-14.76,10:00:00,6,0,14,0.3,-0.865948068175694,-1.4756739529999996,-0.4905817843486675,-8.357831143714085,-5.9076407497416925,-52.84786928481191,-1.9544,0.2991688795019037,0.1839549013629536,36.884
20250131-20250301,-10.937028299999998,54,30,0.03,1h,5,10,amazed-grub-weasel,AwesomeMacdFreqAi,24,-0.01098050607130256,-1.1,-0.05468514149999999,-5.47,10:00:00,11,0,13,0.4583333333333333,-0.5072795620669455,-0.4557095124999999,-0.16649520708340704,-3.432990228270265,-2.14212310614465,-35.88596168616503,-0.6498,0.692624233076787,0.1003906313330432,20.124
20250131-20250301,-33.65044474,30,30,0.03,1h,5,10,top-earwig-gull,AwesomeMacdFreqAi,8,-0.10365566207315158,-10.37,-0.16825222369999998,-16.83,10:00:00,0,0,8,0.0,-0.9015992669297984,-4.2063055925,-1.0,-8.650768945166435,-8.650768945166435,-65.87921784325101,-4.3428,0.0,0.16825222370000006,33.65
20250131-20250301,-22.75967972999999,56,30,0.03,1h,5,10,game-bream-wren,AwesomeMacdFreqAi,22,-0.02509671787805349,-2.51,-0.11379839864999995,-11.38,10:00:00,11,0,11,0.5,-0.7814083476188904,-1.0345308968181819,-0.2593813138855964,-5.809672134419891,-3.911476001980768,-44.7033726935177,-1.2367,0.48123737222880736,0.16770433734999998,33.541
20250131-20250301,-1.5416792999999993,36,30,0.03,1h,5,10,easy-tiger-crane,AwesomeMacdFreqAi,14,-0.0002808498415043738,-0.03,-0.0077083964999999964,-0.77,10:00:00,8,0,6,0.5714285714285714,-0.09280271456999889,-0.11011994999999986,-0.03305041474497683,-0.42597292230849393,-0.2752841609311606,-6.33765970712176,-0.1076,0.9228823655950541,0.08012786355111529,16.062
20250131-20250301,-51.90732585,60,30,0.03,1h,5,10,set-bull-tapir,AwesomeMacdFreqAi,22,-0.05931153510223439,-5.93,-0.25953662925,-25.95,10:00:00,5,0,17,0.22727272727272727,-0.9772204544914507,-2.3594239022727272,-0.6521313874704568,-14.515216465821123,-10.714562591610868,-65.87921784325101,-3.3878,0.15606526327352652,0.25953662925000004,51.907
20250131-20250301,-24.53536071,32,30,0.03,1h,5,10,proper-martin-hog,AwesomeMacdFreqAi,8,-0.07602296111388143,-7.6,-0.12267680354999999,-12.27,10:00:00,2,0,6,0.25,-0.8074271224639107,-3.06692008875,-0.7194501195289102,-6.859565314958307,-5.55845695184713,-64.814985435238,-2.7904,0.04073317396145293,0.1246911005396955,24.996
20250131-20250301,-9.560596069999999,34,30,0.03,1h,5,10,moved-mantis-owl,AwesomeMacdFreqAi,12,-0.017623408441516598,-1.76,-0.047802980349999996,-4.78,10:00:00,6,0,6,0.5,-0.4601770705841586,-0.796716339166667,-0.20876055538977434,-2.4365516302375276,-1.6062264831958282,-37.29413785562467,-0.6739,0.5824788892204514,0.0844428410766797,16.931
20250131-20250301,-23.996650870000003,52,30,0.03,1h,5,10,model-asp-gibbon,AwesomeMacdFreqAi,16,-0.035627657356118045,-3.56,-0.11998325435000001,-12.0,10:00:00,5,0,11,0.3125,-0.7998519146361529,-1.4997906793749998,-0.4330077255557744,-7.545950421340332,-4.400429969393048,-51.22705484606371,-1.6169,0.37017058100978273,0.15430133499999996,30.86
20250302-20250331,-15.972460330000004,30,30,0.03,1h,5,10,pumped-wahoo-frog,AwesomeMacdFreqAi,14,-0.03010275469442601,-3.01,-0.07986230165000002,-7.99,10:00:00,4,0,10,0.2857142857142857,-0.6492124530698892,-1.1408900235714285,-0.46361277967333125,-6.413924334838924,-4.00710307393498,-50.49859512748066,-1.5665,0.3509421084573363,0.10418638290000004,20.837
20250302-20250331,-10.925920230000001,48,30,0.03,1h,5,10,flying-spider-serval,AwesomeMacdFreqAi,20,-0.012722918493378968,-1.27,-0.054629601150000005,-5.46,9:33:00,7,0,13,0.35,-0.50691508064619,-0.5462960115000001,-0.2602785078980586,-4.150580720202677,-2.6055363790405703,-32.45484051659121,-0.862,0.5995715263106791,0.11089117486221967,22.811
20250302-20250331,-5.9718789,44,30,0.03,1h,5,10,needed-liger-lamb,AwesomeMacdFreqAi,24,-0.0032741792030051057,-0.33,-0.0298593945,-2.99,9:38:00,8,0,16,0.3333333333333333,-0.31719201724988244,-0.24882828749999986,-0.12674479117427084,-2.417400164349657,-1.2720437714837531,-18.769384360134886,-0.3858,0.8098828132385939,0.10480437275881622,21.992
20250302-20250331,-15.959657530000001,32,30,0.03,1h,5,10,simple-grub-kitten,AwesomeMacdFreqAi,16,-0.02631802224945358,-2.63,-0.07979828765000001,-7.98,10:00:00,4,0,12,0.25,-0.6489051717108179,-0.9974785956250003,-0.48665641273967375,-6.179691404652152,-4.280786898759127,-50.489139184507714,-1.5729,0.35112478301376837,0.10412236890000003,20.824
20250302-20250331,1.7477955199999988,56,30,0.03,1h,5,10,proud-hound-molly,AwesomeMacdFreqAi,25,0.004155143272378554,0.42,0.008738977599999994,0.87,10:00:00,11,0,14,0.44,0.11573430682097108,0.0699118207999998,0.03633010064794506,0.7104732830110364,0.3885933970272047,8.409596796138748,0.1156,1.0648751797284732,0.06845952582435702,14.363
20250302-20250331,-9.33962827,54,30,0.03,1h,5,10,pet-burro-gnu,AwesomeMacdFreqAi,22,-0.009616016462706302,-0.96,-0.04669814135,-4.67,10:00:00,9,0,13,0.4090909090909091,-0.4522403747442997,-0.42452855772727294,-0.18657100590670272,-3.395423537836115,-2.1828617100892873,-29.643700458283288,-0.6902,0.6842644515425033,0.10378046530327611,21.348
20250302-20250331,-1.9943311600000004,52,30,0.03,1h,5,10,pro-shiner-lion,AwesomeMacdFreqAi,20,-0.0023444893382734123,-0.23,-0.009971655800000001,-1.0,10:00:00,9,0,11,0.45,-0.1185043942542644,-0.0997165579999999,-0.052733190989442735,-0.8260942489310715,-0.5131892130945962,-7.773019238737203,-0.1698,0.9041214709282858,0.08451347726406001,17.52
20250302-20250331,10.277952609999998,60,30,0.03,1h,5,10,neat-crow-asp,AwesomeMacdFreqAi,25,0.00816616391995721,0.82,0.05138976304999999,5.14,9:38:00,12,0,13,0.48,0.878983588106862,0.41111810439999974,0.23015463569305927,3.8015944248673876,2.0602264024754966,58.46154534646719,0.6128,1.4426050686404988,0.05791015914512748,12.569
20250302-20250331,-5.379476480000001,34,30,0.03,1h,5,10,joint-mako-crow,AwesomeMacdFreqAi,16,-0.007358809731149974,-0.74,-0.026897382400000006,-2.69,10:00:00,6,0,10,0.375,-0.29048398440175405,-0.3362172800000003,-0.16101591495050094,-1.9542927496376739,-1.19499103563683,-19.58984841989936,-0.4391,0.7423745360791987,0.09045391656746316,18.651
20250302-20250331,0.08003130000000294,50,30,0.03,1h,5,10,golden-ghoul-teal,AwesomeMacdFreqAi,23,0.002588900372612983,0.26,0.00040015650000001473,0.04,9:37:00,9,0,14,0.391304347826087,0.005048144244096164,0.003479621739130412,0.0019503739066162318,0.030132073447377377,0.017489446004498196,0.28829392103503976,0.0054,1.0032041857037268,0.09144139127265806,19.481
20250302-20250331,4.912425689999999,40,30,0.03,1h,5,10,poetic-tuna-sloth,AwesomeMacdFreqAi,20,0.0034718008350257306,0.35,0.024562128449999995,2.46,9:33:00,8,0,12,0.4,0.35717924090381326,0.24562128449999987,0.13402273034427004,1.8342280235087642,0.9110526835952395,19.838281481303277,0.3014,1.2233712172404498,0.0815662290292879,17.619
20250302-20250331,-4.20676608,36,30,0.03,1h,5,10,native-elf-worm,AwesomeMacdFreqAi,18,-0.004953873133675544,-0.5,-0.021033830400000002,-2.1,9:30:00,6,0,12,0.3333333333333333,-0.23475559837882853,-0.23370922666666682,-0.14031934116339995,-1.4963764158800406,-1.0105937589286529,-16.439501666512793,-0.3514,0.7895209882549,0.08429040752629663,17.339
